Algo,N,Temps,Compteur
A,100000,0.000404,199998
B,100000,0.000496,150000
A,200000,0.000716,399998
B,200000,0.001042,300000
A,400000,0.001629,799998
B,400000,0.002395,600000
A,600000,0.003460,1199998
B,600000,0.005917,900000
A,800000,0.004430,1599998
B,800000,0.004706,1200000
A,1000000,0.005880,1999998
B,1000000,0.005645,1500000
A,1200000,0.006779,2399998
B,1200000,0.006862,1800000
A,1400000,0.009893,2799998
B,1400000,0.009528,2100000
A,1600000,0.009280,3199998
B,1600000,0.009642,2400000
A,1800000,0.012111,3599998
B,1800000,0.011751,2700000
